Date,Open,High,Low,Close,Adj Close,Volume
9/27/2016,64.75,66.139999,64.730003,65.989998,61.767021,1118700
9/28/2016,66.290001,67.699997,66.029999,66.199997,61.963585,1091100
9/29/2016,66.010002,66.510002,65.269997,65.309998,61.130539,785000
9/30/2016,65.599998,66.349998,65.290001,65.860001,61.645332,884100
10/3/2016,65.599998,67.120003,65.599998,67.089996,62.796635,1041600
10/4/2016,68.419998,69.620003,68,68.709999,64.312958,1956100
10/5/2016,68.620003,68.839996,67.760002,68.309998,63.938553,1010900
10/6/2016,68.379997,69.110001,68.169998,69.089996,64.66864,821400
10/7/2016,69.07,69.199997,67.889999,68.110001,63.751362,1197700
10/10/2016,68.290001,69.940002,68.169998,69.910004,65.436165,846100
10/11/2016,70,70.239998,69.110001,69.330002,64.89328,1454200
10/12/2016,69.860001,71.25,69.860001,70.43,65.922897,2022000
10/13/2016,71.010002,73.190002,70.139999,72.959999,68.291,2156800
10/14/2016,73.18,73.699997,71.699997,72.309998,67.682579,1155900
10/17/2016,72.330002,73.290001,71.900002,71.940002,67.336258,810300
10/18/2016,72.449997,73.169998,71.599998,72.110001,67.495377,1098400
10/19/2016,72.040001,73.519997,71.779999,73.459999,68.75898,1289700
10/20/2016,74.230003,75.309998,72.82,75.290001,70.471863,1623300
10/21/2016,74.330002,75.050003,73.870003,74.559998,69.788582,1111300
10/24/2016,74.879997,75.040001,73.5,73.610001,68.899391,779500
10/25/2016,73.419998,73.989998,72.32,72.400002,67.766815,1235100
10/26/2016,70.5,72.879997,70.449997,71.129997,66.578079,1546700
10/27/2016,71.470001,72.269997,70.629997,71.120003,66.568726,895300
10/28/2016,71.220001,72.400002,71.07,71.779999,67.186501,721500
10/31/2016,72.080002,72.309998,71.440002,72.220001,67.598335,679800
11/1/2016,72.239998,72.849998,70.660004,71.43,66.858887,736400
11/2/2016,71.550003,72.940002,70.910004,70.959999,66.418953,1027700
11/3/2016,70.959999,71.230003,69.57,69.660004,65.202156,884600
11/4/2016,69.699997,71.050003,69.120003,70.260002,65.763763,1161100
11/7/2016,71.379997,72.589996,70.879997,72.57,67.925941,1119900
11/8/2016,72.459999,73.099998,71.769997,72.709999,68.056984,839500
11/9/2016,71.239998,73.620003,70.870003,73.18,68.49691,859900
11/10/2016,73.339996,75.419998,73.290001,74.970001,70.437035,1519400
11/11/2016,74.519997,75.330002,74.139999,75.230003,70.681328,759500
11/14/2016,75.709999,78.099998,75.599998,77.830002,73.124123,1269000
11/15/2016,79.209999,80.400002,77.650002,78.239998,73.509323,1249600
11/16/2016,78,78.290001,77.309998,77.769997,73.067741,860600
11/17/2016,77.660004,78.900002,77.480003,78.849998,74.082451,679900
11/18/2016,78.489998,82.150002,77.900002,79.470001,74.664963,959800
11/21/2016,79.5,79.57,78.720001,78.779999,74.016678,796000
11/22/2016,79.129997,81.860001,79.089996,81.529999,76.600403,1464500
11/23/2016,81.470001,83,80.510002,82.959999,77.943947,1578200
